name,layer_info,input,out,dot,add,compare,ops,weight_size,activation_size
layer2.1.bn2,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,100352,0,200704,0,100352
layer2.1.relu,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",0,0,100352,100352,0,100352
layer2.1.conv3,"kernel=1x1,stride=1x1,pad=0x0,num_out=512","[1, 128, 28, 28]","[1, 512, 28, 28]",51380224,51380224,0,102760448,65536,401408
layer2.1.bn3,None,"[1, 512, 28, 28]","[1, 512, 28, 28]",401408,401408,0,802816,0,401408
layer2.1.relu,None,"[1, 512, 28, 28]","[1, 512, 28, 28]",0,0,401408,401408,0,401408
layer2.2.conv1,"kernel=1x1,stride=1x1,pad=0x0,num_out=128","[1, 512, 28, 28]","[1, 128, 28, 28]",51380224,51380224,0,102760448,65536,100352
layer2.2.bn1,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,100352,0,200704,0,100352
layer2.2.relu,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",0,0,100352,100352,0,100352
layer2.2.conv2,"kernel=3x3,stride=1x1,pad=1x1,num_out=128","[1, 128, 28, 28]","[1, 128, 28, 28]",115605504,115605504,0,231211008,147456,100352
layer2.2.bn2,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,100352,0,200704,0,100352
layer2.2.relu,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",0,0,100352,100352,0,100352
layer2.2.conv3,"kernel=1x1,stride=1x1,pad=0x0,num_out=512","[1, 128, 28, 28]","[1, 512, 28, 28]",51380224,51380224,0,102760448,65536,401408
layer2.2.bn3,None,"[1, 512, 28, 28]","[1, 512, 28, 28]",401408,401408,0,802816,0,401408
layer2.2.relu,None,"[1, 512, 28, 28]","[1, 512, 28, 28]",0,0,401408,401408,0,401408
layer2.3.conv1,"kernel=1x1,stride=1x1,pad=0x0,num_out=128","[1, 512, 28, 28]","[1, 128, 28, 28]",51380224,51380224,0,102760448,65536,100352
layer2.3.bn1,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,100352,0,200704,0,100352
layer2.3.relu,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",0,0,100352,100352,0,100352
layer2.3.conv2,"kernel=3x3,stride=1x1,pad=1x1,num_out=128","[1, 128, 28, 28]","[1, 128, 28, 28]",115605504,115605504,0,231211008,147456,100352
layer2.3.bn2,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,100352,0,200704,0,100352
layer2.3.relu,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",0,0,100352,100352,0,100352
layer2.3.conv3,"kernel=1x1,stride=1x1,pad=0x0,num_out=512","[1, 128, 28, 28]","[1, 512, 28, 28]",51380224,51380224,0,102760448,65536,401408
layer2.3.bn3,None,"[1, 512, 28, 28]","[1, 512, 28, 28]",401408,401408,0,802816,0,401408
layer2.3.relu,None,"[1, 512, 28, 28]","[1, 512, 28, 28]",0,0,401408,401408,0,401408
layer3.0.conv1,"kernel=1x1,stride=1x1,pad=0x0,num_out=256","[1, 512, 28, 28]","[1, 256, 28, 28]",102760448,102760448,0,205520896,131072,200704
layer3.0.bn1,None,"[1, 256, 28, 28]","[1, 256, 28, 28]",200704,200704,0,401408,0,200704
layer3.0.relu,None,"[1, 256, 28, 28]","[1, 256, 28, 28]",0,0,200704,200704,0,200704
layer3.0.conv2,"kernel=3x3,stride=2x2,pad=1x1,num_out=256","[1, 256, 28, 28]","[1, 256, 14, 14]",115605504,115605504,0,231211008,589824,50176
layer3.0.bn2,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,50176,0,100352,0,50176
layer3.0.relu,None,"[1, 256, 14, 14]","[1, 256, 14, 14]",0,0,50176,50176,0,50176
layer3.0.conv3,"kernel=1x1,stride=1x1,pad=0x0,num_out=1024","[1, 256, 14, 14]","[1, 1024, 14, 14]",51380224,51380224,0,102760448,262144,200704
layer3.0.bn3,None,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,200704,0,401408,0,200704
